resto_name,address,area,opening_hours,closing_hours,start_price,end_price,average_price,rating,type
Soto Madura Pak Hadi Surabaya,"Jl. Pintu Air Raya No.4 7, RT.7/RW.1, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",Jakarta Pusat,10.00,22.00,10000,50000,30000,4.4,PKL
Tahu Campur Cak Majid,"Jl. Garuda No.28 1, RT.11/RW.4, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10620",Jakarta Pusat,17.00,24.00,10000,50000,30000,4.6,PKL
Bakso Ciat Solo,"Jl. Cempaka Putih Barat 25 No.30B, RT.6/RW.7, Cemp. Putih Bar., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520",Jakarta Pusat,09.00,21.00,10000,50000,30000,4.5,PKL
Lapo Siboto Dai,"Jalan Terminal Senen No.13 - 15, RT.10/RW.3, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410",Jakarta Pusat,09.00,21.00,50000,100000,75000,4.4,PKL
Nasi Campur Kenanga,"Jl.senen raya no.35 Ruko segitiga senen blok A no.11, RW.2, Senen, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 14240",Jakarta Pusat,08.00,17.00,50000,100000,75000,4.7,PKL
Nasi Kapau Sabana Bana Asli Bukit Tinggi (H. Moh. Nasir T),"Jl. Kramat Raya No.15, RT.4/RW.2, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450",Jakarta Pusat,00.01,24.00,10000,50000,30000,4.4,PKL
Loko Cafe Pasar Senen,"Jl. Pasar Senen No.18, RT.18/RW.4, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410",Jakarta Pusat,06.00,23.00,10000,50000,30000,4.5,Café
Jurnal Risa Coffee Atrium,"Jl. Senen Raya No.135, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410",Jakarta Pusat,10.00,22.00,10000,50000,30000,4.5,Café
21 Factory Gelato & Coffee,"Jl. Veteran I No.21, RT.4/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",Jakarta Pusat,10.00,22.00,10000,50000,30000,4.5,Café
SpaceD,"DOSS SUPERSTORE, Jl. Cideng Timur No.61 2nd Floor, RT.3/RW.5, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",Jakarta Pusat,08.00,21.00,50000,100000,75000,4.5,Café
Maxx Coffee  -  Cideng,"Jl. Tanah Abang II No.70B, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",Jakarta Pusat,06.00,23.00,10000,50000,30000,4.5,Café
Kepala Manyung Bu Fat,"Jl. Cempaka Putih Raya No.19, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520",Jakarta Pusat,10.00,22.00,50000,100000,75000,4.6,Restoran
Siang Malam Juanda Masakan Padang,"Jl. Ir. H. Juanda 1 No.RT.14, RT.14/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",Jakarta Pusat,07.00,22.00,50000,100000,75000,4.3,Restoran
Pondok Wong Palembang,"Jl. Veteran I No.34 - 35, RT.4/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",Jakarta Pusat,09.00,21.00,10000,50000,30000,4.4,Restoran
Waroeng Steak Cempaka Putih,"Jl. Cempaka Putih Barat II No.1D 1, RT.1/RW.3, Cemp. Putih Bar., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520",Jakarta Pusat,11.00,22.00,50000,100000,75000,4.4,Restoran
Talaga Sampireun Menteng,"Jl. Prajurit KKO Usman dan Harun Jl. Kramat Kwitang No.12, RT.8/RW.1, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410",Jakarta Pusat,10.00,22.00,100000,200000,150000,4.5,Restoran
The Harvest Cakes  -  Biak,"Jl. Biak No.5C, RT.2/RW.5, Cideng, Jakarta, Central Jakarta City, Jakarta 10150",Jakarta Pusat,08.00,22.00,100000,200000,150000,4.5,Bakery
Cake LAB & Kaffein,"Jl. Cideng Barat No.36a 4, RT.3/RW.11, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",Jakarta Pusat,08.00,22.00,50000,100000,75000,4.2,Bakery
D2 Bakery & Cafe,"Jl Kh. Hasyim Ashari #56B, RT.17, RT.17/RW.3, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",Jakarta Pusat,08.00,20.00,10000,50000,30000,4.5,Bakery
Bintaro Bakery & Cake,"Jl. Cikini Raya, No. 121 / A2, Menteng, RT.9/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",Jakarta Pusat,07.00,22.00,50000,100000,75000,4.3,Bakery
Martha Cake Shop,"Jl. Jambu No.33, RT.4/RW.2, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",Jakarta Pusat,09.00,17.00,50000,100000,75000,4.5,Bakery
Warung MJS,"Jl. Setia Budi Tengah No.11, RT.1/RW.1, Kuningan, Setia Budi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910",Jakarta Selatan,11.00,21.00,50000,100000,75000,4.5,Restoran
PokenBir,"Lippo Kuningan, Jl. H. R. Rasuna Said No.Kav. B 12, RT.6/RW.7, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",Jakarta Selatan,10.30,22.00,100000,200000,150000,4.7,Restoran
Bakmi Garing,"Jl. Prof. DR. Satrio No.238 2, RT.2/RW.6, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930",Jakarta Selatan,10.00,22.00,10000,50000,30000,4.3,Restoran
Kembang Goela Restaurant,"Jl. Jend. Sudirman No.Kav. 47 - 48, RT.5/RW.4, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",Jakarta Selatan,11.00,21.00,100000,200000,150000,4.6,Restoran
Tokyo Belly,"Setiabudi One, Jl. H. R. Rasuna Said No.Kav 62 18, RT.18/RW.2, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",Jakarta Selatan,10.00,22.00,50000,100000,75000,4.5,Restoran
Scarlett's House BLOK M,"Jl. Sultan Hasanudin, Melawai, Jakarta, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,11.00,21.30,100000,200000,150000,4.6,Café
Kedai Tjikini  -  M Bloc Space,"Jl. Panglima Polim No.37, RT.1/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,10.00,22.00,50000,100000,75000,4.3,Café
NETIJEN CAFE and RESTO,"Jl. Raya Jagakarsa No.4, RT.9/RW.3, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",Jakarta Selatan,10.00,23.00,50000,100000,75000,4.5,Café
Sejiwa Coffee,"Jl. Aditiyawarman No.40, RT.6/RW.2, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,06.00,23.00,100000,200000,150000,4.3,Café
Ladang Coffee Pack,"Jl. Paso No.168 3, RT.5/RW.6, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620",Jakarta Selatan,08.00,22.00,50000,100000,75000,4.4,Café
BRAUD,"Jl. Senopati No.36, RT.6/RW.3, Selong, Kec. Kby. Baru, Daerah Khusus Ibukota Jakarta 12110",Jakarta Selatan,08.00,22.00,100000,200000,150000,4.6,Bakery
Boutique à Paris,"Jl. Senopati No.71 - 73, RT.8/RW.3, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110",Jakarta Selatan,10.00,20.00,50000,100000,75000,4.7,Bakery
Weirdough Bakehouse,"Jl. Darmawangsa IX No.52 Blok U, RT.5/RW.1, Pulo, Kebayoran Baru, South Jakarta City, Jakarta 12160",Jakarta Selatan,09.00,20.00,50000,100000,75000,4.7,Bakery
Roti Eneng,"Jl. Gandaria Tengah IV No.19, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,08.00,20.30,10000,50000,30000,4.6,Bakery
Chocban Jakarta Senopati,"Jl. Bakti I No.12, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180",Jakarta Selatan,07.00,21.00,10000,50000,30000,4.7,Bakery
Soto Jakarta Pak Haji Yus,"Jl. Minangkabau Barat No.40, RT.1/RW.1, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12970",Jakarta Selatan,08.00,18.00,10000,50000,30000,4.5,PKL
Martabak Kubang Hayuda,"Jl. Dr. Saharjo No.86 1, RT.2/RW.7, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860",Jakarta Selatan,10.30,23.30,10000,50000,30000,4.4,PKL
Rumah Makan Nusa Indah,"Jl. KH. Ahmad Dahlan Kby. No.33 3, RT.3/RW.1, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,11.00,19.00,50000,100000,75000,4.4,PKL
Gado - gado Kertanegara,"Jl. Kertanegara No.2 3, RT.3/RW.2, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110",Jakarta Selatan,10.00,15.00,10000,50000,30000,4.3,PKL
Es Podeng Kertanegara,"Jl. Kertanegara No.2 3, RT.6/RW.1, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110",Jakarta Selatan,09.30,17.00,10000,50000,30000,4.6,PKL
Telaga Sampireun - Puri,"Jl. Lkr. Luar Barat No.1, RT.2/RW.3, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750",Jakarta Barat,10.00,22.00,100000,200000,150000,4.5,Restoran
Layar Seafood & Ikan Bakar Pesanggrahan," Jl. Pesanggrahan No.80 1, RT.1/RW.3, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",Jakarta Barat,11.00,23.00,100000,200000,150000,4.1,Restoran
Isshin,"Central Park, Lantai Lower Ground Jl. Letjen S. Parman, Slipi, Jakarta Barat",Jakarta Barat,10.00,22.00,100000,200000,150000,4.4,Restoran
Satu Meja,"Jl. Tanjung Duren Utara IV No. 464, Tanjung Duren, Jakarta Barat",Jakarta Barat,10.00,23.00,50000,100000,75000,4.3,Café
Olive Tree House of Croissants,"Komplek Taman Permata Buana, Blok M4 No. 6 Jl. Pulau Sebaru, Puri, Jakarta Barat",Jakarta Barat,08.00,22.00,50000,100000,75000,4.2,Café
Padang Merdeka,"Jl. Lada No. 1, Kota, Jakarta Barat",Jakarta Barat,09.00,22.00,50000,100000,75000,4.2,Restoran
Acaraki,"Gedung Kerta Niaga 3 Jl. Kali Besar Timur, Kota, Jakarta Barat",Jakarta Barat,10.00,22.00,50000,100000,75000,4.3,Café
Haidilao Hot Pot,"Mall Taman Anggrek, Lantai 1 Jl. Letjen S. Parman, Slipi, Jakarta Barat",Jakarta Barat,10.00,22.00,200000,300000,250000,4.2,Restoran
Namamia Coffee & Eatery,"Jl. Raya Pos Pengumben No. 49, Kebon Jeruk, Jakarta Barat",Jakarta Barat,08.00,22.00,50000,100000,75000,4.1,Café
Kembang Tandjoeng,"Griya Batik Semar, Lantai 1 Jl. Tomang Raya No. 54, Tomang, Jakarta Barat",Jakarta Barat,10.00,22.00,50000,100000,75000,4.1,Restoran
Chateraise,"Central Park, Lantai Lower Ground Jl. Letjen S. Parman, Slipi, Jakarta Barat",Jakarta Barat,10.00,22.00,50000,100000,75000,4,Bakery
Firstly Coffee,"Jl. Kemanggisan Raya No. 84B, Kemanggisan, Jakarta Barat",Jakarta Barat,09.00,22.00,15000,50000,32500,4.3,Café
Born Ga,"Neo Soho Mall, Lantai Lower Ground Jl. Letjen S. Parman, Slipi, Jakarta Barat",Jakarta Barat,10.00,22.00,100000,200000,150000,4.1,Restoran
Pesisir Seafood,"Jl. Meruya Ilir No. 9, Meruya, Jakarta Barat",Jakarta Barat,11.00,23.00,100000,200000,150000,4.2,Restoran
Rempah Bistro,"Central Park, Lantai 1 Jl. Letjen S. Parman, Slipi, Jakarta Barat",Jakarta Barat,10.00,22.00,50000,100000,75000,4.2,Restoran
Francis Artisan Bakery,"Mall Taman Anggrek, Lantai Ground Jl. Letjen S. Parman, Slipi, Jakarta Barat",Jakarta Barat,10.00,21.00,15000,50000,32500,4,Bakery
Bonjour Bakery,"Ranch Market, Lantai 1 Jl. Pesanggrahan No. 2, Puri, Jakarta Barat",Jakarta Barat,08.00,21.00,15000,50000,32500,3.6,Bakery
Mie Ayam Ortega,"Jl. Utama Sakti 1, No.42A, Kel. Wijaya Kusuma, Kec. Grogol Petamburan, 11460",Jakarta Barat,06.00,14.00,15000,30000,22500,4.6,PKL
Pecel Lele Lamongan Jaya,"Jl. Tanjung Duren Utara I No. 1A, Tanjung Duren, Jakarta Barat",Jakarta Barat,15.00,24.00,15000,50000,32500,3.8,PKL
Lele Crispy Dodo,"Jl. Jelambar Utama Raya No. 52, Jelambar, Jakarta Barat",Jakarta Barat,11.00,23.00,15000,50000,32500,3.4,PKL
Bubur Ayam Sheila,"Jl. Tanjung Duren Timur No. 23, Tanjung Duren, Jakarta Barat",Jakarta Barat,07.00,12.00,15000,50000,32500,4.1,PKL
Bubur Ayam Spesial Bang Jaya,"Jl. Pesanggrahan (Samping Halte), Puri, Jakarta Barat",Jakarta Barat,07.00,12.00,15000,50000,32500,3.4,PKL
Es Bubur Kacang Ijo Madura,"Jl. Al Amanah (Depan Masjid Raya Al Amanah), Jelambar, Jakarta Barat",Jakarta Barat,17.00,24.00,10000,50000,30000,3.6,PKL
Dough Lab,"Central Park, Lantai Lower Ground Jl. Letjen S. Parman, Slipi, Jakarta Barat",Jakarta Barat,10.00,22.00,50000,100000,75000,4.2,Bakery
Somay Baaang!,"Jl. KH. Syahdan No. 16, Palmerah, Jakarta Barat",Jakarta Barat,10.00,22.00,10000,50000,30000,3.2,Restoran
The Harvest,"Jl. Panjang No. 19, Kebon Jeruk, Jakarta Barat",Jakarta Barat,08.00,22.00,100000,200000,150000,4,Bakery
Milled Artisan Bakery,"Jl. Palmerah Utara No. 14, Palmerah, Jakarta Barat",Jakarta Barat,07.00,22.00,10000,50000,30000,4.2,Bakery
Holland Bakery,"Jl. Gajah Mada No. 172  -  173, Gajah Mada, Jakarta Barat",Jakarta Barat,07.00,22.00,10000,50000,30000,3.7,Bakery
Tatei Cafe,"Ruko Food City, No. 22, Green Lake City Jl. West Europe Boulevard, Cengkareng, Jakarta Barat",Jakarta Barat,10.00,22.00,50000,100000,75000,4.2,Café
Dancing Goat Coffee Co.,"Ruko Grand Puri Niaga, Blok K6 No. 2P Jl. Puri Kencana Raya, Puri, Jakarta Barat",Jakarta Barat,07.00,21.00,50000,100000,75000,4,Café
Kopitagram,"Jl. Kasturi No. 22, Tomang, Jakarta Barat",Jakarta Barat,08.00,21.00,50000,100000,75000,3.9,Café
Kopi Janji Jiwa,"Jl. Tanjung Duren Raya No. 55, Tanjung Duren, Jakarta Barat",Jakarta Barat,06.00,22.00,15000,50000,32500,3.9,Café
Kitchenette,"St Moritz Mall (Lippo Mall Puri), Lantai Ground Jl. Puri Indah Boulevard Blok U1, Puri, Jakarta Barat",Jakarta Barat,10.00,22.00,100000,200000,150000,4.1,Restoran
Sushi Hiro,"Mall Taman Anggrek, Lantai 4 Jl. Letjen S. Parman, Slipi, Jakarta Barat",Jakarta Barat,10.00,22.00,100000,200000,150000,4.2,Restoran
Soto Betawi H. Mamat,"Jl. Mandala Raya No. 10, Tomang, Jakarta Barat",Jakarta Barat,08.00,21.00,15000,50000,32500,4.2,Restoran
Kedai Seni Djakarte,"Taman Fatahillah Jl. Pintu Besar Utara No. 17, Kota, Jakarta Barat",Jakarta Barat,10.00,20.00,15000,50000,32500,4.1,Café
Pondok Mangga Tss,"Jl. Trikora No. 16, Jembatan Lima, Jakarta Barat",Jakarta Barat,16.00,24.00,15000,50000,32500,4.2,Restoran
Babrex,"Krendang Street Food Jl. Krendang Raya No. 48, Jembatan Lima, Jakarta Barat",Jakarta Barat,11.00,22.00,15000,50000,32500,4,Restoran
Marugame Udon,"Puri Indah Mall, Lantai 2 Jl. Puri Indah Raya, Puri, Jakarta Barat",Jakarta Barat,10.00,22.00,50000,100000,75000,4,Restoran
Ramen SeiRock - Ya,"Mall Taman Anggrek, Lantai 1 Jl. Letjen S. Parman, Slipi, Jakarta Barat",Jakarta Barat,10.00,22.00,50000,100000,75000,4,Restoran
Nasi Gandul Bu Endang,"Jl. Pesanggrahan No.13, Meruya Utara",Jakarta Barat,08.00,22.00,15000,50000,32500,3.6,PKL
Empal Gentong Juara,"Jl. Dr. semeru 2 No.14, Petamburan",Jakarta Barat,08.00,22.00,25000,50000,37500,4,PKL
Bubur Ayam Alfa,"Ruko Taman Aries, Blok H1 No. 4 Jl. Meruya Ilir, Meruya, Jakarta Barat",Jakarta Barat,17.30,22.30,15000,50000,32500,3.6,PKL
Nasi Uduk Betawi Bang Udin,"Jl. Palmerah Barat No. 25A, Palmerah, Jakarta Barat",Jakarta Barat,16.30,23.00,15000,50000,32500,3.2,PKL
Kedai Soto Tangkar & Sate Kuah Daging Sapi Aneka Sari Pak H. Diding,"Jl. Pasar Pagi Lama Los Blok T28 B & C, Kota, Jakarta Barat",Jakarta Barat,07.00,22.00,15000,50000,32500,3.7,PKL
Cipta Rasa Nasi Ulam Misdjaya,"Jl. Kemenangan III (Toasebio), Glodok, Jakarta Barat",Jakarta Barat,16.00,22.00,15000,50000,32500,3.3,PKL
Soto Mie Puri H.Darjo,"Jl. Kembang Abadi Utama Blok A7 No. 7, Puri, Jakarta Barat",Jakarta Barat,10.30,18.00,15000,50000,32500,3.5,PKL
Capital Bakery & Cake,"Jl. Pesanggrahan No. 26, Puri, Jakarta Barat",Jakarta Barat,07.00,22.00,15000,200000,107500,3.8,Bakery
One Eighty Bakery,"Jl. Panjang No. 17, Kebon Jeruk, Jakarta Barat",Jakarta Barat,10.00,22.00,15000,50000,32500,3.7,Bakery
Momo Paradise,"Mal Kelapa Gading 5, Lantai Ground Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",Jakarta Utara,10.00,24.00,200000,500000,350000,4.7,Restoran
Chanba Private Room Grill,"Ruko Crown Golf, Blok D No. 21  -  23, Bukit Golf Mediterania Jl. Marina Indah Raya, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",Jakarta Utara,11.00,22.00,100000,200000,150000,4.3,Restoran
Exquise Patisserie,"Jl. Boulevard Raya Blok WB2 No. 24, Kelapa Gading, Jakarta Utara",Jakarta Utara,08.00,21.00,100000,200000,150000,4.3,Café
Warung Mataram,"Jl. Kelapa Hibrida Raya Blok QH12 No. 8, Kelapa Gading, Jakarta Utara",Jakarta Utara,12.00,20.00,15000,50000,32500,4.8,Restoran
Kopi Selamat Pagi,"Jl. Summagung III No. 17, Kelapa Gading, Jakarta Utara",Jakarta Utara,09.00,21.00,50000,100000,75000,4.3,Café
Naughty Olive,"Bounce Street Asia, Lantai 2 Jl. Artha Gading Selatan, Kelapa Gading, Jakarta Utara",Jakarta Utara,09.00,21.00,50000,100000,75000,4.3,Café
Ramen Beast,"Ruko Beach Boulevard, Blok B No. 68 Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",Jakarta Utara,11.00,22.00,50000,100000,75000,4.6,Restoran
Batavia Marina  ,"Pelabuhan Sunda Kelapa Jl. Ancol Barat IV, Ancol, Jakarta Utara",Jakarta Utara,10.00,20.00,50000,100000,75000,4.3,Restoran
NIX Kitchen & Bar,"Burza Tower, Lantai 9  -  10 Jl. Pantai Indah Selatan I, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",Jakarta Utara,12.00,24.00,100000,200000,150000,4.1,Restoran
Ben Gong's Tea,"Ruko The Metro, Blok G8 Unit JU Jl. Mandara Permai VII, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",Jakarta Utara,08.00,21.00,15000,50000,32500,4.1,Café
The Green Door Kitchen,"Mahaka Square, Lantai Ground Jl. Kelapa Nias Raya, Kelapa Gading, Jakarta Utara",Jakarta Utara,09.00,20.00,100000,200000,150000,4,Restoran
Noble by Zab Thai,"Ruko Beach Boulevard, Blok B No. 23 Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",Jakarta Utara,11.00,23.00,100000,200000,150000,4.1,Restoran
Mornington Kitchen & Coffee,"Jl. Kelapa Nias Raya Blok QB5 No. 9, Kelapa Gading, Jakarta Utara",Jakarta Utara,08.00,21.00,100000,200000,150000,4.2,Restoran
Teazzi,"Mall of Indonesia, Lantai 1 Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta Utara",Jakarta Utara,10.00,21.00,15000,50000,32500,4.4,Café
Becca's Bakehouse,"Jl. Pluit Karang Barat Blok G6 No. 36, Muara Karang, Penjaringan, Jakarta Utara",Jakarta Utara,07.00,19.00,50000,100000,75000,4,Café
B'Steak Grill & Pancake,"Jl. Muara Karang Raya No. 42, Muara Karang, Penjaringan, Jakarta Utara",Jakarta Utara,10.00,22.00,100000,200000,150000,4.1,Restoran
Kedaiwa,"Jl. Pluit Karang Barat Blok O6 Barat No. 15B, Muara Karang, Penjaringan, Jakarta Utara",Jakarta Utara,08.00,19.00,15000,50000,32500,4.3,Restoran
Loaf Bun Korean Bakery,"Jl. Pluit Karang Indah Timur Blok B8 Timur No. 108, Muara Karang, Penjaringan, Jakarta Utara",Jakarta Utara,07.00,21.00,15000,50000,32500,4.6,Bakery
Tadaima Japanese Bakery,"Jl. Pluit Sakti Raya No. 46, Pluit, Penjaringan, Jakarta Utara",Jakarta Utara,08.00,22.00,15000,50000,32500,4.2,Bakery
Capital Bakery & Cake,"Jl. Boulevard Raya Blok I4 No. 14, Kelapa Gading, Jakarta Utara",Jakarta Utara,06.00,22.00,15000,50000,32500,4.1,Bakery
OMG! Oh My Grill,"Jl. Boulevard Raya Blok QJ1 No. 18  -  19, Kelapa Gading, Jakarta Utara",Jakarta Utara,12.00,22.00,100000,200000,150000,4.1,Restoran
Rica Rico Cakery,"Emporium Pluit Mall, Lantai Lower Ground Jl. Pluit Selatan Raya, Pluit, Penjaringan, Jakarta Utara",Jakarta Utara,10.00,21.00,15000,50000,32500,4.4,Bakery
Boens Soes,"Jl. Kelapa Kopyor Raya Blok M1 No. 1, Kelapa Gading, Jakarta Utara",Jakarta Utara,08.00,18.00,15000,50000,32500,4.2,Bakery
BUTANOYA,"Jl. Kelapa Hibrida Raya Blok RA3 No. 23, Kelapa Gading, Jakarta Utara",Jakarta Utara,09.00,24.00,50000,100000,75000,4.3,Restoran
Tomoro Coffee,"Jl. Danau Sunter Utara No. 3A, Sunter, Jakarta Utara",Jakarta Utara,07.00,22.00,50000,100000,75000,4.4,Café
Kembang Kawung,"Jl. Kelapa Hibrida Raya Blok RB1 No. 29B, Kelapa Gading, Jakarta Utara",Jakarta Utara,10.00,22.00,50000,100000,75000,4.1,Restoran
Dragon Hot Pot,"Ruko Beach Theme Park, Blok E No. 170 & 172 Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",Jakarta Utara,11.00,21.00,100000,200000,150000,4.3,Restoran
RM Pallubasa Serigala,"Jl. Boulevard Raya Blok I4 No. 6, Kelapa Gading, Jakarta Utara",Jakarta Utara,08.00,22.00,15000,50000,32500,4.1,Restoran
Pizza Napoletana,"Jl. Kelapa Lilin IV Blok NG9 No. 3, Kelapa Gading, Jakarta Utara",Jakarta Utara,11.30,20.00,50000,100000,75000,4.4,Restoran
Lind's Ice Cream,"Ruko Gading Batavia, Blok LC9 No. 33 Jl. Gading Batavia Raya, Kelapa Gading, Jakarta Utara",Jakarta Utara,10.00,20.00,50000,100000,75000,4,Café
Fukumaru,"Jl. Raya Pegangsaan Dua No. 23C, Kelapa Gading, Jakarta Utara",Jakarta Utara,11.00,21.30,50000,100000,75000,4.4,Restoran
Kohicha Cafe,"Ruko Gading Kirana, Blok A6A No. 21 Jl. Boulevard Artha Gading, Kelapa Gading, Jakarta Utara",Jakarta Utara,08.00,22.00,50000,100000,75000,4.3,Restoran
Chanba Private Room Grill,"Ruko Crown Golf, Blok D No. 21  -  23, Bukit Golf Mediterania Jl. Marina Indah Raya, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",Jakarta Utara,11.00,24.00,100000,200000,150000,4.3,Restoran
Sushi Masa,"Grey Building, Lantai 3 Jl. Tuna Raya No. 5, Penjaringan, Jakarta Utara",Jakarta Utara,11.00,22.00,200000,500000,350000,4.2,Restoran
Pho Ba Ba,"Mal Kelapa Gading 1, Lantai Ground Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",Jakarta Utara,10.00,22.00,50000,100000,75000,4.3,Restoran
Coco Bakehouse,"Ruko Grand Orchard Square, Blok D No. 9 Jl. Terusan Kelapa Hibrida, Kelapa Gading, Jakarta Utara",Jakarta Utara,07.00,19.00,15000,50000,32500,4.3,Bakery
Suka Thai,"Pantai Mutiara, Blok TG No. 1 Jl. Pantai Mutiara, Pantai Mutiara, Penjaringan, Jakarta Utara",Jakarta Utara,11.00,21.00,100000,200000,150000,4.3,Restoran
Matcha Bae,"Jl. Kelapa Hibrida Raya Blok QJ9 No. 37, Kelapa Gading, Jakarta Utara",Jakarta Utara,10.00,20.00,15000,50000,32500,4.2,Café
Putu Made+ Dine & Bar,"PIK Avenue, Lantai 1 Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",Jakarta Utara,10.00,22.00,100000,200000,150000,4.1,Restoran
Bouclette Sourdough Bakery & Dining,"Batavia PIK Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",Jakarta Utara,11.30,23.00,100000,200000,150000,4.3,Restoran
Mala Kitchen,"Jl. Boulevard Raya Blok QJ3 No. 11, Kelapa Gading, Jakarta Utara",Jakarta Utara,11.30,22.00,15000,50000,32500,4.2,Restoran
Pondok Kemangi,"Jl. Pluit Samudra No. 10, Pluit, Penjaringan, Jakarta Utara ",Jakarta Utara,11.00,22.00,100000,200000,150000,4,Restoran
Gaise Brunch & Bistro,"Ruko Beach Theme Park, Blok E No. 60 Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",Jakarta Utara,08.00,22.00,100000,200000,150000,4.2,Restoran
