resto_name,address,area,opening_hours,closing_hours,start_price,end_price,average_price,rating,type
Bebek Kaleyo Rawamangun,"Jl. Pemuda No.290, RT.3/RW.1, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,09.00,21.00,25000,50000,37500,4.5,Restoran
Warung Mak Dower,"Jl. Pemuda No.72, RT.2/RW.4, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,10.00,21.00,10000,60000,35000,4.4,Restoran
Bakmie Siantar,"Jl. Sunan Sedayu No.1 Blok A, RT.1/RW.6, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,09.00,21.00,10000,60000,35000,4.5,Restoran
Mako Cake & Bakery,"Jl. Paus No.10A 1, RT.1/RW.7, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,10.00,21.00,10000,100000,55000,3.8,Bakery
TOUS les JOURS  -  Cibubur Junction,"JVJV+6MC, Jagorawi Toll Rd, RT.8/RW.7, Cibubur, Ciracas, East Jakarta City, Jakarta 13720",Jakarta Timur,07.00,20.00,10000,100000,55000,3.8,Bakery
Burger King Cibubur Square,"Jagorawi Toll Rd Jl. Rest Area KM X No.5, RT.7/RW.1, Cipayung, East Jakarta City, Jakarta 13840",Jakarta Timur,00.01,24.00,20000,100000,60000,4.5,Restoran
Javakarta Resto,"Javakarta Resto, Jl. Jambore No.6, RT.3/RW.13, Cibubur, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13720",Jakarta Timur,11.00,22.00,20000,100000,60000,4.5,Restoran
Relatives Jakarta Coffee,"Jl. Cipayung Raya No.10, RT.4/RW.1, Cilangkap, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13840",Jakarta Timur,16.00,02.30,20000,60000,40000,4.5,Café
Teras Rumah Nenek,"Jl. Abdulrahman No.46, RT.12/RW.5, Cibubur, Kec. Ciracas, Jakarta, Daerah Khusus Ibukota Jakarta 13720",Jakarta Timur,10.00,23.00,20000,60000,40000,4.8,Café
Nusa Resto Pulau Pramuka,"Nusa Karamba, Gosong Pulau Pramuka, Kepulauan Seribu / Thousand Islands, North Jakarta, Jakarta",Kepulauan Seribu,09.00,21.00,10000,100000,55000,4.4,Restoran
Bakso Samping Plaza,"7J37+H3, Panggang Island, North Kepulauan Seribu, Kepulauan Seribu Regency, Jakarta 14530",Kepulauan Seribu,07.00,19.00,15000,30000,22500,4.8,PKL
"Kampoeng Koneng Pulau Seribu  -  Resto di Pulau Seribu, Restoran dan Wisata Keluarga di Pulau Seribu","7J26+7P3, Pulau Pramuka, RT.4/RW.5, Pulau Panggang, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530",Kepulauan Seribu,09.00,23.00,20000,70000,45000,4.7,Restoran
Seafood Pak Harun Kelapa Indah,"9H2H+MQ7, Harapan Island, North Kepulauan Seribu, Kepulauan Seribu Regency, Jakarta",Kepulauan Seribu,00.01,24.00,20000,100000,60000,4.6,Restoran
ANGKRINGAN SR,"7J37+5V9, Unnamed Road, Pulau Pramuka, Pulau Panggang, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530",Kepulauan Seribu,09.00,21.00,10000,30000,20000,5,Restoran
Restoran 87 tiang,"Restauran 87 Tiang, Pulau Pramuka, Kepulauan Seribu Utara, Kab. Administrasi Kepulauan Seribu, Daerah Khusus Ibukota Jakarta 14530",Kepulauan Seribu,09.00,21.00,50000,400000,225000,5,Restoran
Bittersweet By Najla Rawamangun,"5, Jl. Balai Pustaka No.8 7, RT.1/RW.10, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,09.00,21.00,25000,100000,62500,4.5,Bakery
Martabak Dimas 28  -  Rawamangun,"Jl. Gading Raya No.4, RT.1/RW.13, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13230",Jakarta Timur,16.00,01.00,20000,80000,50000,4.5,PKL
"Martabak Pecenongan 78, Ciracas","5, Jl. Raya Jakarta - Bogor No.33 5, RT.7/RW.8, Susukan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770",Jakarta Timur,01.00,11.00,40000,170000,105000,4.5,PKL
Martabak pecenongan 78 cawang,"Jl. Dewi Sartika No.21, RT.5/RW.12, Cawang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630",Jakarta Timur,08.30,23.50,40000,170000,105000,4.5,PKL
MARTABAK PECENONGAN 78 CONDET,"RT.1/RW.3, Batu Ampar, Kramat Jati, East Jakarta City, Jakarta 13530",Jakarta Timur,01.00,11.00,40000,170000,105000,4,PKL
Seafood Ade Fani 67 (Ciracas),"Jalan Raya Lapangan Tembak Blok Mesjid 1 No.6, Kelapa Dua Wetan, Ciracas, RT.3/RW.2, Klp. Dua Wetan, Kec. Ciracas, DKI Jakarta, Daerah Khusus Ibukota Jakarta 13720",Jakarta Timur,11.00,01.00,20000,70000,45000,4.5,PKL
DEUSEYO KOREAN BBQ & JJIGAE  -  GREEN TERRACE TMII,"Green Terrace TMII, Jl. Raya Mabes Hankam No.10 GF Blok B.06, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820",Jakarta Timur,11.00,22.00,125000,250000,187500,4.8,Restoran
Warung Tekko Green Terrace,"Jl. Raya Mabes Hankam No.19, Bambu Apus, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13810",Jakarta Timur,10.00,21.00,50000,100000,75000,4.4,Restoran
First Crack Coffee,"Jl. Bumi No.10 2, RT.2/RW.3, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120",Jakarta Selatan,07.00,20.00,50000,150000,100000,4.8,Café
Pison Coffee Jakarta,"Jl. Kertanegara Jl. Senopati No.70, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,08.00,22.00,30000,150000,90000,4.6,Café
Cecemuwe Cafe and Space  -  Senayan,"Jl. Hang Jebat IX No.6, RT.8/RW.4, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120",Jakarta Selatan,10.00,22.00,20000,150000,85000,4.7,Café
Lucky Cat Coffee & Kitchen,"Parkir Selatan Plaza Festival, Jl. H. R. Rasuna Said No.C22 2, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",Jakarta Selatan,00.01,24.00,30000,150000,90000,4.4,Café
Mineral Cafe,"Jl. Gandaria Tengah III No.17, RT.1/RW.3, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,08.00,22.00,15000,100000,57500,4.5,Café
Six Ounces Coffee Panglima Polim,"Jl. Panglima Polim IX No.93 4, RT.4/RW.6, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,07.00,22.00,30000,150000,90000,4.6,Café
Sama Dengan Antasari,"Jl. Putih Melati No.10B, Cipete Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",Jakarta Selatan,10.00,22.00,30000,100000,65000,4.6,Café
Kopi Nalar,"14, Jl. Prof. Joko Sutono SH No.7, RT.14/RW.6, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,08.00,23.00,30000,100000,65000,4.5,Café
Walking Drums,"Jl. Pati Unus No.4 blok F4, RT.4/RW.4, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120",Jakarta Selatan,07.00,23.00,50000,150000,100000,4.5,Café
Tuang Coffee,"Jl. Barito I No.3, RT.10/RW.7, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,07.00,23.00,30000,100000,65000,4.7,Café
Little League Jakarta,"Jl. Prof. Joko Sutono SH No.21 14, RT.14/RW.6, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,10.00,00.00,20000,150000,85000,4.5,Café
Dua Coffee Cipete,"Jl. Cipete Raya No.66, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410",Jakarta Selatan,07.00,22.00,30000,100000,65000,4.6,Café
Lima Detik  -  Eighty Nine Kemang,"Jl. Kemang Raya No.89, RT.2/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",Jakarta Selatan,10.00,00.00,50000,100000,75000,4.4,Café
Filosofi Kopi Melawai,"Kawasan Terpadu Blok M Square, Jl. Melawai 6 No.1, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,07.00,23.00,30000,50000,40000,4.5,Café
Twin House Cipete,"Jl. Cipete Raya No.4B, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410",Jakarta Selatan,07.00,22.00,100000,200000,150000,4.5,Café
Oddity Coffee,"Jl. Senopati No.66, RT.8/RW.3, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110",Jakarta Selatan,07.00,22.00,100000,200000,150000,4.8,Café
Titik Temu Cafe  -  Cipete,"Jl. Cipete Raya No.37, Cipete Sel., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12410",Jakarta Selatan,07.00,00.00,100000,200000,150000,4.4,Café
Relung Kopi,"Jl. Tebet Barat IX No.17, RT.7/RW.4, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810",Jakarta Selatan,07.00,23.30,50000,100000,75000,4.5,Café
Anomali Coffee,"Jl. Senopati No.19, RT.6/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190",Jakarta Selatan,07.00,23.00,50000,100000,75000,4.5,Café
Sleepless Owls,"Jl. Tebet Utara Dalam No.27 7, RT.10/RW.2, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",Jakarta Selatan,10.00,01.00,50000,100000,75000,4.3,Café
